餐廳名稱,認證別,地區,性質,認證單位,地址,經度,緯度,行政區,類別
泰姬印度餐廳,MR,臺北市,印度料理,中國回教協會,臺北市大安區市民大道四段48巷1號,121.5458381,25.0447151,大安區,穆斯林餐廳
阿布都中東料理,MR,臺北市,中東料理,中國回教協會,臺北市大安區新生南路三段106號2樓之1,121.532835,25.0167919,大安區,穆斯林餐廳
亞瑟蘭印度餐廳,MR,臺北市,印度料理,中國回教協會,臺北市士林區德行西路114號,121.5206697,25.1037911,士林區,穆斯林餐廳
清真泰富豪,MR,臺北市,泰式料理,中國回教協會,臺北市松山區北寧路36號,121.5527725,25.0494732,松山區,穆斯林餐廳
酷思多披薩,MR,臺北市,義大利料理,中國回教協會,臺北市中正區連雲街74-1號,121.5299596,25.0342863,中正區,穆斯林餐廳
張家清真黃牛肉麵館,MR,臺北市,中式料理,中國回教協會,臺北市中正區延平南路21號,121.5107249,25.0457242,中正區,穆斯林餐廳
饗印印度巴基斯坦料理餐廳,MR,臺北市,印度料理,中國回教協會,臺北市信義區基隆路一段366號,121.5608379,25.0355865,信義區,穆斯林餐廳
清真黃牛肉麵館,MR,臺北市,中式料理,中國回教協會,臺北市中正區延平南路23號,121.510751,25.0456689,中正區,穆斯林餐廳
清真昆明園餐廳,MR,臺北市,異國料理,中國回教協會,臺北市松山區復興北路81巷26號,121.5451929,25.0510842,松山區,穆斯林餐廳
阿里巴巴的廚房,MR,臺北市,印度料理,中國回教協會,臺北市中山區南京東路二段56號2樓,121.5298145,25.0518773,中山區,穆斯林餐廳
壹千零壹夜,MR,臺北市,波斯料理,中國回教協會,台北市松山區八德路四段618號2樓,121.573708,25.049785,松山區,穆斯林餐廳
亞瑟蘭印度料理-內湖店,MR,臺北市,中國回教協會,中國回教協會,臺北市內湖區文湖街60巷2號,121.56416,25.0863378,內湖區,穆斯林餐廳
暮娜餐館,MR,臺北市,印度料理,中國回教協會,臺北市中正區延平南路252號,121.5072336,25.0331525,中正區,穆斯林餐廳
原味德里-北車店,MR,臺北市,印度料理,中國回教協會,臺北市中正區北平西路3號2樓,121.5169983,25.0477467,中正區,穆斯林餐廳
登陸土星土耳其咖啡,MFR,臺北市,午晚餐料理,中國回教協會,臺北市大安區永康街75巷14-2號,121.5308155,25.0288107,大安區,穆斯林友善餐廳
真的好海鮮餐廳,MFR,臺北市,海鮮餐-套團餐,中國回教協會,臺北市大安區復興南路一段222號,121.5434675,25.0391999,大安區,穆斯林友善餐廳
炸鷄大獅北市南港一館,MFR,臺北市,速食,中國回教協會,臺北市南港區經貿二路1號,121.6179513,25.0564452,南港區,穆斯林友善餐廳
炸鷄大獅-南港二館,MFR,臺北市,速食,中國回教協會,臺北市南港區經貿二路2號B1,121.6156184,25.0562386,南港區,穆斯林友善餐廳
炸鷄大獅北市南港環球店,MFR,臺北市,速食,中國回教協會,臺北市南港區忠孝東路七段317號B1,121.6038152,25.0517764,南港區,穆斯林友善餐廳
炸鷄大獅-內湖家樂福,MFR,臺北市,速食,中國回教協會,臺北市內湖區民善街88號,121.5743529,25.0591464,內湖區,穆斯林友善餐廳
炸鷄大獅西門桂林店,MFR,臺北市,速食,中國回教協會,臺北市萬華區桂林路1號,121.5058635,25.0378901,萬華區,穆斯林友善餐廳
清真中國牛肉麵食館,MFR,臺北市,中式料理,（大園清真寺）環亞貝爾國際標準驗證有限公司,臺北市大安區延吉街137巷7弄1號,121.5549342,25.0421572,大安區,穆斯林友善餐廳
友善清真水料理食品有限公司,MFR,臺北市,中式料理,(大園清真寺)環亞貝爾國際標準驗證有限公司,臺北市松山區敦化北路155巷17號,121.5509413,25.0541612,松山區,穆斯林友善餐廳
清真中國牛肉麵食館,MFR,臺北市,中式料理,（大園清真寺）環亞貝爾國際標準驗證有限公司,臺北市信義區松高路12號新光三越B2,121.5666624,25.0381676,信義區,穆斯林友善餐廳
Furger 芙格漢堡,MFR,臺北市,素食料理,巴勒克清真產業有限公司,台北市中山區民權東路二段92巷7弄2號第三間 (捷運行天宮4號出口),121.531807,25.0606539,中山區,穆斯林友善餐廳
炸機大獅-信義永吉店,MFR,臺北市,速食,中國回教協會,台北市信義區永吉路30巷119號,121.5688676,25.0430409,信義區,穆斯林友善餐廳
梅居休閒農場,MFR,臺北市,午晚餐,伊斯蘭商務發展有限公司,臺北市士林區平等里平菁街 43 巷 99 號,121.5748083,25.1427814,士林區,穆斯林友善餐廳
